Serial,text,Canonical Name,Concept ID,Definition,TUI
37,text : PES,Cannonical Name: Plasma Product,CUI: C4521445,Definition: The fluid (noncellular) portion of the circulating blood,TUI(s): T121
38,text : technique,Cannonical Name: Plasma Cells,CUI: C0032112,Definition: Specialized forms of antibody-producing B-LYMPHOCYTES. They synthesize and secrete immunoglobulin. They are found only in lymphoid organs and at sites of immune responses and normally do not circulate in the blood or lymph. (Rosen et al.,TUI(s): T025
39,text : procedures,Cannonical Name: Phenomenon,CUI: C1882365,Definition: Any state or process known through the senses rather than by intuition or reasoning.,TUI(s): T067
40,text : electrolyte,Cannonical Name: Optical Phenomena,CUI: C2350474,Definition: LIGHT,TUI(s): T070
41,text : decomposition,Cannonical Name: Physical Phenomenon or Property,CUI: C0597237,Definition: A natural phenomenon involving the physics of matter and energy.,TUI(s): T070
42,text : dielectric discharge,Cannonical Name: Physical Phenomena,CUI: C2350446,Definition: The entities of matter and energy,TUI(s): T070
43,text : phenomenon,Cannonical Name: Genetic Phenomena,CUI: C2350469,Definition: The biological processes,TUI(s): T070
44,"text : heat
transfer",Cannonical Name: Electrolytes,CUI: C0013832,Definition: Substances that dissociate into two or more ions,TUI(s): T121
45,text : plasma,Cannonical Name: Electrolyte [EPC],CUI: C3536863,Definition: None,TUI(s): T121
46,text : environment,Cannonical Name: Electrolyte imbalance,CUI: C0342579,Definition: Higher or lower than normal values for the serum electrolytes; usually affecting NA,TUI(s): T046
47,text : carbon,Cannonical Name: Disorder of electrolytes,CUI: C1704431,Definition: A metabolic disorder that is characterized by electrolyte imbalances (e.g.,TUI(s): T046
48,text : nitrogen particles,Cannonical Name: Surface,CUI: C0205148,Definition: The extended two-dimensional outer boundary of a three-dimensional object.,TUI(s): T082
49,text : nally,Cannonical Name: Surface of bone,CUI: C0825429,Definition: The exterior part of the bone.,TUI(s): T029
50,text : concepts,Cannonical Name: Cell surface,CUI: C0699040,Definition: The external part of the cell wall and/or plasma membrane. [GOC:jl,TUI(s): T026
51,text : model,Cannonical Name: Membrane Proteins,CUI: C0025252,Definition: Proteins which are found in membranes including cellular and intracellular membranes. They consist of two types,TUI(s): T116
52,text : Plasma,Cannonical Name: Body surface,CUI: C0489451,Definition: The surface of an external body region.,TUI(s): T032
53,text : technique,Cannonical Name: electrode,CUI: C0013812,Definition: Electric conductors through which electric currents enter or leave a medium,TUI(s): T073
54,text : asset,Cannonical Name: Specimen Source Codes - Electrode,CUI: C1546616,Definition: None,TUI(s): T170
55,text : information,Cannonical Name: Specimen Type - Electrode,CUI: C1550631,Definition: None,TUI(s): T031
56,text : researchers,Cannonical Name: Gel Electrode,CUI: C3204501,Definition: A device that uses a gel to carry an electric current from the skin to a measuring instrument. A sticky patch may hold the gel electrode on the skin so that the electrical activity of the heart or brain can be measured.,TUI(s): T074
57,text : treatment,Cannonical Name: Electrode Grid,CUI: C2348395,Definition: An electrode placed between the cathode and anode of a vacuum tube to control the flow of electrons through the tube.,TUI(s): T074
